,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
228,松江,33701,谷北小区,中区/2层,186,2室1厅,unknow,松江老城,/ershoufang/sh4747142.html,55.19
229,闵行,69800,平阳三街坊,中区/6层,490,2室2厅,2003,古美,/ershoufang/sh4747007.html,70.2
230,闸北,50177,保德路1010弄,高区/6层,240,1室1厅,1010,彭浦,/ershoufang/sh4746756.html,47.83
231,杨浦,64798,翔殷路491弄,高区/6层,215,1室0厅,1993,黄兴公园,/ershoufang/sh4746407.html,33.18
232,虹口,69811,何家宅小区,低区/6层,222,1室0厅,1989,鲁迅公园,/ershoufang/sh4744961.html,31.8
233,杨浦,71162,汇元坊,高区/7层,936,3室2厅,2002,黄兴公园,/ershoufang/sh4744822.html,131.53
234,黄浦,93041,海悦花园,高区/27层,1420,3室2厅,2004,打浦桥,/ershoufang/sh4744239.html,152.62
235,松江,48296,凤凰新村,低区/6层,190,1室1厅,1978,松江老城,/ershoufang/sh4744126.html,39.34
236,闵行,61336,华光花园,高区/14层,850,3室2厅,1997,金虹桥,/ershoufang/sh4744081.html,138.58
237,长宁,72629,煜王苑,中区/18层,760,2室2厅,2000,中山公园,/ershoufang/sh4743492.html,104.64
238,普陀,11804,华侨城,低区/34层,1020,2室2厅,unknow,长寿路,/ershoufang/sh4742672.html,86.41
239,黄浦,86614,陆兴小区,低区/6层,550,2室1厅,unknow,老西门,/ershoufang/sh4742591.html,63.5
